Date_Index,Daily Estimated Operating Income
2120,722.5760869565217
2121,723.4130434782609
2122,724.25
2123,725.0869565217391
2124,725.9239130434783
2125,726.7608695652174
2126,727.5978260869565
2127,728.4347826086956
2128,729.2717391304348
2129,730.1086956521739
2130,730.945652173913
2131,731.7826086956521
2132,732.6195652173913
2133,733.4565217391305
2134,734.2934782608696
2135,735.1304347826087
2136,735.9673913043479
2137,736.804347826087
2138,737.6413043478261
2139,738.4782608695652
2140,739.3152173913044
2141,740.1521739130435
2142,740.9891304347826
2143,741.8260869565217
2144,742.6630434782609
2145,743.5
2146,744.3369565217391
2147,745.1739130434783
2148,746.0108695652174
2149,746.8478260869565
2150,747.6847826086956
2151,748.5217391304348
2152,749.3586956521739
2153,750.195652173913
2154,751.0326086956521
2155,751.8695652173913
2156,752.7065217391305
2157,753.5434782608696
2158,754.3804347826087
2159,755.2173913043479
